CPU,Cores,CPU BenchMark,Single-Thread BenchMark,TDP (W),Socket,Category
[Dual CPU] Intel Xeon Gold 5120 @ 2.20GHz,14,29566,1730,105,FCLGA3647,Server
Intel Xeon Gold 5120T @ 2.20GHz,14,18127,1849,105,FCLGA3647,Server
Intel Xeon Gold 5122 @ 3.60GHz,4,8868,2155,105,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 5122 @ 3.60GHz,4,16453,2208,105,FCLGA3647,Server
Intel Xeon Gold 5215 @ 2.50GHz,10,15624,1835,85,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 5215 @ 2.50GHz,10,22066,1953,85,FCLGA3647,Server
Intel Xeon Gold 5217 @ 3.00GHz,8,15429,2173,115,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 5217 @ 3.00GHz,8,25455,2089,115,FCLGA3647,Server
Intel Xeon Gold 5218 @ 2.30GHz,16,21651,2171,125,FCLGA3647,Server
[Quad CPU] Intel Xeon Gold 5218 @ 2.30GHz,16,54123,2273,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 5218 @ 2.30GHz,16,34156,2113,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 5218N @ 2.30GHz,16,41082,1785,110,FCLGA3647,Server
Intel Xeon Gold 5218R @ 2.10GHz,20,24742,2234,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 5218R @ 2.10GHz,20,40534,2193,125,FCLGA3647,Server
Intel Xeon Gold 5218T @ 2.10GHz,16,21433,2282,105,Unknown,Server
[Dual CPU] Intel Xeon Gold 5218T @ 2.10GHz,16,35030,2007,105,Unknown,Server
Intel Xeon Gold 5220 @ 2.20GHz,18,24154,2266,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 5220 @ 2.20GHz,18,41925,2211,125,FCLGA3647,Server
Intel Xeon Gold 5220R @ 2.20GHz,24,32765,2333,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 5220R @ 2.20GHz,24,54515,2287,150,FCLGA3647,Server
Intel Xeon Gold 5222 @ 3.80GHz,4,9489,2347,105,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 5222 @ 3.80GHz,4,17523,2297,105,FCLGA3647,Server
Intel Xeon Gold 5315Y @ 3.20GHz,8,20820,2480,140,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 5315Y @ 3.20GHz,8,36428,2471,140,FCLGA4189,Server
Intel Xeon Gold 5317 @ 3.00GHz,12,27387,2361,150,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 5317 @ 3.00GHz,12,41181,2357,150,FCLGA4189,Server
Intel Xeon Gold 5318H @ 2.50GHz,18,29301,2225,150,FCLGA4189,Server
[Quad CPU] Intel Xeon Gold 5318H @ 2.50GHz,18,70723,1975,150,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 5318H @ 2.50GHz,18,50218,2301,150,FCLGA4189,Server
Intel Xeon Gold 5318Y @ 2.10GHz,24,33283,2083,165,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 5318Y @ 2.10GHz,24,56985,2063,165,FCLGA4189,Server
Intel Xeon Gold 5320 @ 2.20GHz,26,37558,1826,185,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 5320 @ 2.20GHz,26,64917,2064,185,FCLGA4189,Server
Intel Xeon Gold 5320H @ 2.40GHz,20,31718,2428,150,FCLGA4189,Server
[Quad CPU] Intel Xeon Gold 5320H @ 2.40GHz,20,83263,2571,150,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 5320H @ 2.40GHz,20,53931,2485,150,FCLGA4189,Server
Intel Xeon Gold 5412U,24,52557,3119,185,FCLGA4677,Server
Intel Xeon Gold 5415+,8,24951,3247,150,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 5415+,8,44674,3248,150,FCLGA4677,Server
Intel Xeon Gold 5416S,16,35976,2888,150,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 5416S,16,62325,3028,150,FCLGA4677,Server
Intel Xeon Gold 5418Y,24,44487,1961,185,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 5418Y,24,81141,3000,185,FCLGA4677,Server
Intel Xeon Gold 5420+,28,58209,3408,205,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 5420+,28,88738,3012,205,FCLGA4677,Server
Intel Xeon Gold 5512U,28,60365,3072,185,FCLGA4677,Server
Intel Xeon Gold 5515+,8,25587,3406,165,FCLGA4677,Server
Intel Xeon Gold 6122 @ 1.80GHz,20,23781,2157,120,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6122 @ 1.80GHz,20,40707,2202,120,FCLGA3647,Server
Intel Xeon Gold 6126 @ 2.60GHz,12,19189,2117,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6126 @ 2.60GHz,12,30442,2114,125,FCLGA3647,Server
Intel Xeon Gold 6128 @ 3.40GHz,6,12881,2104,115,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6128 @ 3.40GHz,6,22473,2137,115,FCLGA3647,Server
Intel Xeon Gold 6130 @ 2.10GHz,16,20647,2065,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6130 @ 2.10GHz,16,33586,1939,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6130H @ 2.10GHz,16,35440,2229,125,FCLGA3647,Server
Intel Xeon Gold 6130T @ 2.10GHz,16,21804,1698,125,FCLGA3647,Server
Intel Xeon Gold 6132 @ 2.60GHz,14,22180,2118,140,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6132 @ 2.60GHz,14,34195,2173,140,FCLGA3647,Server
Intel Xeon Gold 6134 @ 3.20GHz,8,16591,2224,130,FCLGA3647,Server
[Quad CPU] Intel Xeon Gold 6134 @ 3.20GHz,8,40698,2221,130,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6134 @ 3.20GHz,8,27945,2202,130,FCLGA3647,Server
Intel Xeon Gold 6136 @ 3.00GHz,12,20977,2201,150,FCLGA3647,Server
[Quad CPU] Intel Xeon Gold 6136 @ 3.00GHz,12,61131,1940,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6136 @ 3.00GHz,12,35483,2169,150,FCLGA3647,Server
Intel Xeon Gold 6137 @ 3.90GHz,16,19365,2499,205,FCLGA-3647,Server
Intel Xeon Gold 6138 @ 2.00GHz,20,24121,2058,125,FCLGA3647,Server
[Quad CPU] Intel Xeon Gold 6138 @ 2.00GHz,20,67444,2190,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6138 @ 2.00GHz,20,42376,2101,125,FCLGA3647,Server
Intel Xeon Gold 6138T @ 2.00GHz,20,20649,2087,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6138T @ 2.00GHz,20,36497,1915,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6139 @ 2.30GHz,18,40210,1954,NA,LGA 3647,Server
Intel Xeon Gold 6140 @ 2.30GHz,18,24445,2109,140,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6140 @ 2.30GHz,18,40124,2100,140,FCLGA3647,Server
Intel Xeon Gold 6142 @ 2.60GHz,16,25215,2143,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6142 @ 2.60GHz,16,35888,2101,150,FCLGA3647,Server
Intel Xeon Gold 6143 @ 2.80GHz,16,24786,2248,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6143 @ 2.80GHz,16,46473,2392,205,FCLGA3647,Server
Intel Xeon Gold 6144 @ 3.50GHz,8,19993,2509,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6144 @ 3.50GHz,8,29954,2466,150,FCLGA3647,Server
Intel Xeon Gold 6146 @ 3.20GHz,12,23296,2309,165,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6146 @ 3.20GHz,12,38586,2358,165,FCLGA3647,Server
Intel Xeon Gold 6148 @ 2.40GHz,20,29009,2152,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6148 @ 2.40GHz,20,46547,2105,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6149 @ 3.10GHz,16,37551,2057,NA,FCLGA3647,Server
Intel Xeon Gold 6150 @ 2.70GHz,18,27446,2114,165,FCLGA3647,Server
[Quad CPU] Intel Xeon Gold 6150 @ 2.70GHz,18,64115,1921,165,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6150 @ 2.70GHz,18,46837,2107,165,FCLGA3647,Server
Intel Xeon Gold 6152 @ 2.10GHz,22,25441,2006,140,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6152 @ 2.10GHz,22,45967,2050,140,FCLGA3647,Server
Intel Xeon Gold 6154 @ 3.00GHz,18,28632,2239,200,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6154 @ 3.00GHz,18,49294,2186,200,FCLGA3647,Server
Intel Xeon Gold 6208U @ 2.90GHz,16,27085,2265,150,FCLGA3647,Server
Intel Xeon Gold 6210U @ 2.50GHz,20,28915,2203,150,FCLGA3647,Server
Intel Xeon Gold 6212U @ 2.40GHz,24,27470,2013,165,FCLGA3647,Server
Intel Xeon Gold 6222V @ 1.80GHz,20,24764,2054,115,FCLGA3647,Server
Intel Xeon Gold 6226 @ 2.70GHz,12,20429,2064,125,FCLGA3647,Server
[Quad CPU] Intel Xeon Gold 6226 @ 2.70GHz,12,64957,2260,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6226 @ 2.70GHz,12,32062,2203,125,FCLGA3647,Server
Intel Xeon Gold 6226R @ 2.90GHz,16,26297,2271,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6226R @ 2.90GHz,16,39978,2107,150,FCLGA3647,Server
Intel Xeon Gold 6230 @ 2.10GHz,20,27069,2269,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6230 @ 2.10GHz,20,45041,2128,125,FCLGA3647,Server
Intel Xeon Gold 6230R @ 2.10GHz,26,33608,2239,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6230R @ 2.10GHz,26,53762,2245,150,FCLGA3647,Server
Intel Xeon Gold 6234 @ 3.30GHz,8,17752,2393,130,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6234 @ 3.30GHz,8,30808,2390,130,FCLGA3647,Server
Intel Xeon Gold 6238 @ 2.10GHz,22,28668,1878,140,FCLGA3647,Server
Intel Xeon Gold 6238R @ 2.20GHz,28,37511,2362,165,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6238R @ 2.20GHz,28,57049,2152,165,FCLGA3647,Server
Intel Xeon Gold 6240 @ 2.60GHz,18,28369,1990,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6240 @ 2.60GHz,18,48736,2308,150,FCLGA3647,Server
Intel Xeon Gold 6240R @ 2.40GHz,24,33353,2312,165,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6240R @ 2.40GHz,24,55765,2307,165,FCLGA3647,Server
Intel Xeon Gold 6242 @ 2.80GHz,16,26288,2196,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6242 @ 2.80GHz,16,37742,2197,150,FCLGA3647,Server
Intel Xeon Gold 6242R @ 3.10GHz,20,34282,2401,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6242R @ 3.10GHz,20,54398,2362,205,FCLGA3647,Server
Intel Xeon Gold 6244 @ 3.60GHz,8,18980,2546,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6244 @ 3.60GHz,8,33625,2559,150,FCLGA3647,Server
Intel Xeon Gold 6246 @ 3.30GHz,12,24829,2468,165,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6246 @ 3.30GHz,12,42206,2490,165,FCLGA3647,Server
Intel Xeon Gold 6246R @ 3.40GHz,16,30468,2341,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6246R @ 3.40GHz,16,48396,2402,205,FCLGA3647,Server
Intel Xeon Gold 6248 @ 2.50GHz,20,29831,2284,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6248 @ 2.50GHz,20,37412,1998,150,FCLGA3647,Server
Intel Xeon Gold 6248R @ 3.00GHz,24,36186,2301,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6248R @ 3.00GHz,24,61068,2335,205,FCLGA3647,Server
Intel Xeon Gold 6250 @ 3.90GHz,8,20915,2703,185,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6250 @ 3.90GHz,8,35164,2705,185,FCLGA3647,Server
Intel Xeon Gold 6252 @ 2.10GHz,24,27148,1883,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6252 @ 2.10GHz,24,49891,2255,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6252N @ 2.30GHz,24,49269,1942,150,FCLGA3647,Server
Intel Xeon Gold 6253CL @ 3.10GHz,18,28549,2311,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6253CL @ 3.10GHz,18,49872,2401,205,FCLGA3647,Server
Intel Xeon Gold 6254 @ 3.10GHz,18,31513,2363,200,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6254 @ 3.10GHz,18,54255,2345,200,FCLGA3647,Server
[Quad CPU] Intel Xeon Gold 6256 @ 3.60GHz,12,76542,2681,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6256 @ 3.60GHz,12,46766,2634,205,FCLGA3647,Server
Intel Xeon Gold 6258R @ 2.70GHz,28,40252,2080,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6258R @ 2.70GHz,28,63984,2346,205,FCLGA3647,Server
Intel Xeon Gold 6262 @ 1.90GHz,24,21823,1701,135,Unknown,Server
[Dual CPU] Intel Xeon Gold 6262 @ 1.90GHz,24,47488,1886,135,Unknown,Server
Intel Xeon Gold 6262V @ 1.90GHz,3,3155,1486,135,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6266C @ 3.00GHz,22,51998,1970,205,FCLGA3647,Server
Intel Xeon Gold 6268CL @ 2.80GHz,24,34558,2278,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Gold 6268CL @ 2.80GHz,24,61095,2364,205,FCLGA3647,Server
Intel Xeon Gold 6278C @ 2.60GHz,26,32835,2019,185,FCLGA3647,Server
Intel Xeon Gold 6312U @ 2.40GHz,24,42124,2344,185,FCLGA4189,Server
Intel Xeon Gold 6314U @ 2.30GHz,32,48013,2217,205,FCLGA4189,Server
Intel Xeon Gold 6326 @ 2.90GHz,16,35270,2365,185,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 6326 @ 2.90GHz,16,54086,2354,185,FCLGA4189,Server
Intel Xeon Gold 6330 @ 2.00GHz,28,43056,2034,205,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 6330 @ 2.00GHz,28,64015,1958,205,FCLGA4189,Server
Intel Xeon Gold 6330N @ 2.20GHz,28,36360,2322,165,FCLGA4189,Server
Intel Xeon Gold 6334 @ 3.60GHz,8,21521,2545,165,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 6334 @ 3.60GHz,8,35117,2518,165,FCLGA4189,Server
Intel Xeon Gold 6336Y @ 2.40GHz,24,45517,2522,185,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 6336Y @ 2.40GHz,24,71408,2542,185,FCLGA4189,Server
Intel Xeon Gold 6338 @ 2.00GHz,32,33814,2206,205,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 6338 @ 2.00GHz,32,68563,2185,205,FCLGA4189,Server
Intel Xeon Gold 6338N @ 2.20GHz,32,42086,2066,185,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 6338N @ 2.20GHz,32,65860,1955,185,FCLGA4189,Server
Intel Xeon Gold 6342 @ 2.80GHz,24,47320,2431,230,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 6342 @ 2.80GHz,24,72919,2344,230,FCLGA4189,Server
Intel Xeon Gold 6346 @ 3.10GHz,16,37665,2483,205,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 6346 @ 3.10GHz,16,55568,2461,205,FCLGA4189,Server
Intel Xeon Gold 6348 @ 2.60GHz,28,52276,2459,235,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 6348 @ 2.60GHz,28,75906,2354,235,FCLGA4189,Server
Intel Xeon Gold 6354 @ 3.00GHz,18,41445,2450,205,FCLGA4189,Server
[Dual CPU] Intel Xeon Gold 6354 @ 3.00GHz,18,64422,2484,205,FCLGA4189,Server
Intel Xeon Gold 6414U,32,57200,2610,250,FCLGA4677,Server
Intel Xeon Gold 6416H,18,40606,2860,165,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6418H,24,84526,2901,185,FCLGA4677,Server
Intel Xeon Gold 6421N,32,58797,2978,185,FCLGA4677,Server
Intel Xeon Gold 6423N,28,57434,2998,195,FCLGA4677,Server
Intel Xeon Gold 6426Y,16,38159,2714,185,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6426Y,16,68988,3082,185,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6428N,32,86030,2672,185,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6430,32,82407,2497,NA,Unknown,Server
Intel Xeon Gold 6434,8,24836,2759,195,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6434,8,48025,3423,195,FCLGA4677,Server
Intel Xeon Gold 6438N,32,52789,2315,205,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6438Y+,32,94596,3279,205,FCLGA4677,Server
Intel Xeon Gold 6442Y,24,56263,2992,225,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6442Y,24,92983,3190,225,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6444Y,16,71870,3267,270,FCLGA4677,Server
Intel Xeon Gold 6448Y,32,60449,2686,225,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6448Y,32,104805,3277,225,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6454S,32,85725,2355,270,FCLGA4677,Server
Intel Xeon Gold 6526Y,16,46025,3242,195,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6526Y,16,71416,3128,195,FCLGA4677,Server
Intel Xeon Gold 6530,32,65533,3330,270,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6530,32,85966,2738,270,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6534,8,51562,3450,195,FCLGA4677,Server
Intel Xeon Gold 6538N,32,44895,1725,205,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6544Y,16,79819,3227,270,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6548Y+,32,85587,2446,205,FCLGA4677,Server
Intel Xeon L3110 @ 3.00GHz,2,1338,1279,45,LGA775,Server
Intel Xeon L3360 @ 2.83GHz,4,2412,1224,65,LGA775,Server
Intel Xeon L3406 @ 2.27GHz,2,928,647,30,LGA1156,Server
Intel Xeon L3426 @ 1.87GHz,4,2470,1231,45,LGA1156,Server
Intel Xeon L5240 @ 3.00GHz,2,1337,1299,40,LGA771,Server
Intel Xeon L5310 @ 1.60GHz,4,1385,662,50,LGA771,Server
Intel Xeon L5320 @ 1.86GHz,4,1118,281,50,LGA771,Server
Intel Xeon L5335 @ 2.00GHz,4,1737,822,50,LGA771,Server
Intel Xeon L5408 @ 2.13GHz,4,1769,936,40,LGA771,Server
Intel Xeon L5410 @ 2.33GHz,4,1940,1029,50,LGA771,Server
[Dual CPU] Intel Xeon L5410 @ 2.33GHz,4,3974,1009,50,LGA771,Server
Intel Xeon L5420 @ 2.50GHz,4,2143,1100,50,LGA771,Server
[Dual CPU] Intel Xeon L5420 @ 2.50GHz,4,4221,1100,50,LGA771,Server
Intel Xeon L5430 @ 2.66GHz,4,2260,1154,50,LGA771,Server
[Dual CPU] Intel Xeon L5430 @ 2.66GHz,4,4269,1131,50,LGA771,Server
[Dual CPU] Intel Xeon L5506 @ 2.13GHz,4,4019,967,60,LGA1366,Server
Intel Xeon L5520 @ 2.27GHz,4,2274,1001,60,LGA1366,Server
[Dual CPU] Intel Xeon L5520 @ 2.27GHz,4,4561,969,60,LGA1366,Server
Intel Xeon L5530 @ 2.40GHz,4,2522,1169,60,LGA1366,Server
Intel Xeon L5609 @ 1.87GHz,4,3298,1160,40,LGA1366,Server
Intel Xeon L5630 @ 2.13GHz,4,3018,1033,40,LGA1366,Server
[Dual CPU] Intel Xeon L5630 @ 2.13GHz,4,5267,964,40,LGA1366,Server
Intel Xeon L5638 @ 2.00GHz,6,3707,862,60,LGA1366,Server
[Dual CPU] Intel Xeon L5638 @ 2.00GHz,6,7217,944,60,LGA1366,Server
Intel Xeon L5639 @ 2.13GHz,6,4419,1102,60,LGA1366,Server
[Dual CPU] Intel Xeon L5639 @ 2.13GHz,6,5768,1010,60,LGA1366,Server
Intel Xeon L5640 @ 2.27GHz,6,4645,1117,60,LGA1366,Server
[Dual CPU] Intel Xeon L5640 @ 2.27GHz,6,8474,1155,60,LGA1366,Server
Intel Xeon L7455 @ 2.13GHz,6,2494,601,65,PGA604,Server
Intel Xeon Max 9480,56,87420,2926,350,FCLGA4677,Server
Intel Xeon MV 3.20GHz,2,582,378,90,mPGA604,Server
Intel Xeon Phi 7210 @ 1.30GHz,64,7306,460,215,SVLCLGA3647,Server
Intel Xeon Phi DL 7255 @ 1.10GHz,68,13537,366,NA,Unknown,Unknown
[Dual CPU] Intel Xeon Platinum 6162 @ 1.90GHz,24,43470,1678,150,FCLGA3647,Server
Intel Xeon Platinum 8124M @ 3.00GHz,18,27336,2091,NA,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8124M @ 3.00GHz,18,48775,2019,NA,FCLGA3647,Server
Intel Xeon Platinum 8151 @ 3.40GHz,2,5669,2364,NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8153 @ 2.00GHz,16,30722,1643,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8156 @ 3.60GHz,4,16852,2245,105,FCLGA3647,Server
Intel Xeon Platinum 8160 @ 2.10GHz,24,28825,2077,150,FCLGA3647,Server
[Quad CPU] Intel Xeon Platinum 8160 @ 2.10GHz,24,72905,2379,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8160 @ 2.10GHz,24,49282,2037,150,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8160M @ 2.10GHz,24,53398,2217,150,FCLGA3647,Server
Intel Xeon Platinum 8167M @ 2.00GHz,26,25396,1455,NA,FCLGA3647,Server
Intel Xeon Platinum 8168 @ 2.70GHz,24,33099,2092,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8168 @ 2.70GHz,24,54431,2107,205,FCLGA3647,Server
Intel Xeon Platinum 8171M @ 2.60GHz,26,30632,2222,165,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8171M @ 2.60GHz,26,57780,2109,165,FCLGA3647,Server
Intel Xeon Platinum 8173M @ 2.00GHz,28,28025,2058,165,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8173M @ 2.00GHz,28,53264,1993,165,FCLGA3647,Server
Intel Xeon Platinum 8175M @ 2.50GHz,24,26659,1903,NA,FCLGA3647,Server
Intel Xeon Platinum 8176 @ 2.10GHz,28,23179,2048,165,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8176 @ 2.10GHz,28,53835,2040,165,FCLGA3647,Server
[Quad CPU] Intel Xeon Platinum 8176M @ 2.10GHz,28,88102,2379,165,FCLGA3647,Server
Intel Xeon Platinum 8180 @ 2.50GHz,28,38259,2142,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8180 @ 2.50GHz,28,59385,2133,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8180M @ 2.50GHz,28,52715,2142,205,FCLGA3647,Server
Intel Xeon Platinum 8252C @ 3.80GHz,12,28147,2700,NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8252C @ 3.80GHz,12,48676,2683,NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8253 @ 2.20GHz,16,30507,1754,125,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8256 @ 3.80GHz,4,16787,2336,105,FCLGA3647,Server
Intel Xeon Platinum 8259CL @ 2.50GHz,24,31142,1955,210,LGA 3647,Server
[Dual CPU] Intel Xeon Platinum 8259CL @ 2.50GHz,24,54849,2042,210,LGA 3647,Server
Intel Xeon Platinum 8260 @ 2.40GHz,24,30347,2239,165,FCLGA3647,Server
[Quad CPU] Intel Xeon Platinum 8260 @ 2.40GHz,24,83793,2297,165,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8260 @ 2.40GHz,24,52066,2065,165,FCLGA3647,Server
Intel Xeon Platinum 8260M @ 2.30GHz,24,33970,2315,165,LGA3647,Server
[Dual CPU] Intel Xeon Platinum 8260M @ 2.30GHz,24,55297,2472,165,LGA3647,Server
Intel Xeon Platinum 8268 @ 2.90GHz,24,34483,2255,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8268 @ 2.90GHz,24,62130,2347,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8269CY @ 2.50GHz,26,61811,2053,NA,FCLGA3647,Server
Intel Xeon Platinum 8270 @ 2.70GHz,26,29986,2325,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8270CL @ 2.70GHz,26,52386,2382,205,FCLGA3647,Server
Intel Xeon Platinum 8273CL @ 2.20GHz,28,35769,2167,165,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8273CL @ 2.20GHz,28,50348,2144,165,FCLGA3647,Server
Intel Xeon Platinum 8275CL @ 3.00GHz,24,40794,2386,NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8275CL @ 3.00GHz,24,66812,2375,NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8276L @ 2.20GHz,28,60188,2427,NA,Unknown,Server
Intel Xeon Platinum 8280 @ 2.70GHz,28,32781,2029,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8280 @ 2.70GHz,28,64291,2356,205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8336C,32,74875,2054,230,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8338C @ 2.60GHz,32,81817,2439,250,FCLGA4189,Server
Intel Xeon Platinum 8347C @ 2.10GHz,36,49386,2445,210,LGA4189,Server
[Dual CPU] Intel Xeon Platinum 8352Y @ 2.20GHz,32,68643,1913,205,FCLGA4189,Server
Intel Xeon Platinum 8358 @ 2.60GHz,32,54416,2382,250,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8358 @ 2.60GHz,32,83116,2355,250,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8358P @ 2.60GHz,32,82052,2378,240,FCLGA4189,Server
Intel Xeon Platinum 8360Y @ 2.40GHz,36,54078,2489,250,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8368 @ 2.40GHz,38,88038,2345,270,FCLGA4189,Server
Intel Xeon Platinum 8368Q @ 2.60GHz,38,46681,2568,270,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8369B @ 2.90GHz,32,87459,2499,270,FCLGA4189,Server
Intel Xeon Platinum 8375C @ 2.90GHz,32,56202,2474,300,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8375C @ 2.90GHz,32,86451,2468,300,FCLGA4189,Server
Intel Xeon Platinum 8380 @ 2.30GHz,40,62318,2385,270,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8380 @ 2.30GHz,40,91257,2400,270,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8450H,28,87103,2902,250,FCLGA4677,Server
